City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
314,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
315,Bambanglipuro,ID,85.66,broken clouds,-7.95,110.2833,Puri Brata
319,Mareeba,AU,81.66,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
332,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
337,Marabu,MY,89.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
345,‘Āhuimanu,US,76.71,clear sky,21.4447,-157.8378,Paradise Bay Resort
354,Kuah,MY,89.6,few clouds,6.3265,99.8432,Azio Hotel
356,Ananindeua,BR,75.11,light rain,-1.3656,-48.3722,Mayra Alves
357,Barra,BR,76.96,overcast clouds,-11.0894,-43.1417,Motel Albatroz
365,Takoradze,GH,78.93,scattered clouds,4.8845,-1.7554,Raybow International Hotel
369,Dingle,PH,82.47,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
380,San Policarpo,PH,81.05,overcast clouds,12.1791,125.5072,Agapita M. Nicart
381,Takaungu,KE,77.88,broken clouds,-3.6837,39.8566,Takaungu House
383,Bontang,ID,83.43,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
399,Pochutla,MX,76.05,clear sky,15.7432,-96.4661,Hotel Posada San Jose
400,Ternate,ID,85.62,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
401,Sambava,MG,77.5,overcast clouds,-14.2667,50.1667,Melrose
405,Port Blair,IN,86.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
407,Robertsport,LR,76.39,clear sky,6.7533,-11.3686,Kwepunha Retreat
408,Pak Chong,TH,85.82,broken clouds,14.708,101.4161,PakChong Phubade Hotel
413,Yeppoon,AU,85.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
414,Poum,NC,81.48,overcast clouds,-20.2333,164.0167,
415,Kahului,US,75.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
416,São José da Coroa Grande,BR,77.65,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
419,Porto-Novo,BJ,78.62,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
421,Pakenham,AU,80.69,scattered clouds,-38.0667,145.4833,Pakenham Ranges
423,Nieuw Amsterdam,SR,76.01,overcast clouds,5.8833,-55.0833,Hotel Stardust
430,Puerto Colombia,CO,78.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
433,Rantepao,ID,84.31,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
444,Mtwara,TZ,76.1,overcast clouds,-10.2667,40.1833,TIL Hotels Mtwara
445,Santa Rosa,PH,87.78,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
454,Paka,MY,85.93,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
456,Kalmunai,LK,80.67,broken clouds,7.4167,81.8167,VS Villa
461,Tabou,CI,78.21,scattered clouds,4.423,-7.3528,hotêl doufoulougou
462,Mahajanga,MG,84.22,thunderstorm,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
468,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
471,Itaueira,BR,77.9,overcast clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
473,Moerai,PF,79.05,light rain,-22.4333,-151.3333,Le Manotel
480,Luba,GQ,75.09,broken clouds,3.4568,8.5547,
487,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
490,Maricá,BR,78.75,overcast clouds,-22.9194,-42.8186,Marica Hills
495,Cockburn Town,TC,75.83,clear sky,21.4612,-71.1419,Osprey Beach Hotel
499,Pangkalanbuun,ID,88.34,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
501,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
502,Hambantota,LK,86.34,clear sky,6.1241,81.1185,Bungalow 63
504,Banda Aceh,ID,86.14,broken clouds,5.5577,95.3222,Sulthan Hotel International
508,Ambilobe,MG,78.8,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
514,Manaus,BR,75.7,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
516,Marang,MY,85.91,broken clouds,5.2056,103.2059,DBarakah Homestay
525,Guararé,PA,76.19,few clouds,7.8167,-80.2833,RESIDENCIAL VILLA VALENTINA
531,Carutapera,BR,75.18,overcast clouds,-1.195,-46.02,Lidera
534,Limbang,MY,89.71,overcast clouds,4.75,115.0,Purnama Hotel
537,Morant Bay,JM,76.62,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
549,Bandarbeyla,SO,75.47,clear sky,9.4942,50.8122,JABIR HOTEL
550,Sorong,ID,84.92,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
565,Kattivākkam,IN,86.09,broken clouds,13.2167,80.3167,Euronova Freezer
576,Maumere,ID,83.14,broken clouds,-8.6199,122.2111,Sylvia Hotel
579,‘Ewa Beach,US,76.95,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
580,Mitsamiouli,KM,82.69,light rain,-11.3847,43.2844,Foyer ADM
582,Shirgaon,IN,77.02,broken clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
584,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
597,Trairi,BR,76.14,overcast clouds,-3.2778,-39.2689,janelas do mar
606,Auki,SB,84.0,overcast clouds,-8.7676,160.7034,Auki Motel
607,Soe,ID,79.95,broken clouds,-9.8607,124.284,Dena Hotel
610,Bodden Town,KY,75.99,few clouds,19.2833,-81.25,Will T Place
617,Kimbe,PG,85.71,light rain,-5.5502,150.1429,Kimbe Bay Hotel
620,Umiray,PH,79.11,broken clouds,15.2206,121.4111,The Chairmans Residence
621,Omboué,GA,76.75,overcast clouds,-1.5746,9.2618,Hotel Olako
623,Sinjai,ID,85.55,overcast clouds,-5.1241,120.253,Wisma Sandika
633,Sulangan,PH,80.38,broken clouds,11.1373,123.7228,Maia's Beach Resort
639,Kloulklubed,PW,86.5,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
641,Sibolga,ID,83.75,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
643,Poindimié,NC,84.69,overcast clouds,-20.9333,165.3333,hotel de la plage
651,Itarema,BR,78.48,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
653,Beira,MZ,82.49,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
659,Namatanai,PG,84.4,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
