City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Port Hardy,CA,50.6996,-127.4199,45.75,93,100,6.91,overcast clouds
80,Hualmay,PE,-11.0964,-77.6139,69.51,86,60,7.76,broken clouds
81,Samarai,PG,-10.6167,150.6667,84.54,76,95,9.6,overcast clouds
82,Faanui,PF,-16.4833,-151.75,80.64,75,75,13.56,light rain
83,Port Alfred,ZA,-33.5906,26.891,69.4,84,96,11.9,light rain
84,Klaksvík,FO,62.2266,-6.589,34.72,58,98,9.15,overcast clouds
85,Upernavik,GL,72.7868,-56.1549,-1.71,95,100,11.5,overcast clouds
86,Piaçabuçu,BR,-10.4056,-36.4344,77.38,77,26,7.9,scattered clouds
87,Kaeo,NZ,-35.1,173.7833,73.33,95,73,11.34,light rain
88,Bom Jesus,BR,-9.0744,-44.3586,73.0,72,89,2.1,overcast clouds
89,Pisco,PE,-13.7,-76.2167,67.01,88,0,0.0,clear sky
90,Taoudenni,ML,22.6783,-3.9836,61.74,16,51,10.13,broken clouds
91,San Lorenzo,PY,-25.3333,-57.5333,76.14,94,100,6.91,moderate rain
92,Valday,RU,57.9747,33.2525,6.75,96,97,8.72,overcast clouds
93,Ponta Delgada,PT,37.7333,-25.6667,57.92,67,20,6.91,few clouds
94,Joensuu,FI,62.6012,29.7632,20.26,91,100,4.0,light snow
95,Daokou,CN,35.5639,114.5058,40.19,23,100,2.93,overcast clouds
96,Qaanaaq,GL,77.484,-69.3632,1.54,71,100,6.29,overcast clouds
97,Hobart,AU,-42.8794,147.3294,73.22,62,20,1.01,few clouds
98,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,87,0,6.91,clear sky
99,Mahébourg,MU,-20.4081,57.7,81.25,85,98,21.52,light rain
100,Salalah,OM,17.0151,54.0924,75.29,60,20,4.61,few clouds
101,Port-Gentil,GA,-0.7193,8.7815,79.43,79,68,8.88,broken clouds
102,Bayir,TR,37.2687,28.2167,28.92,65,0,4.79,clear sky
103,San Andrés,CO,12.5847,-81.7006,80.1,72,35,12.73,scattered clouds
104,Waingapu,ID,-9.6567,120.2641,84.51,71,60,13.04,broken clouds
105,Torbay,CA,47.6666,-52.7314,32.76,99,100,4.61,freezing rain
106,Kruisfontein,ZA,-34.0033,24.7314,65.88,79,78,3.62,broken clouds
107,Hithadhoo,MV,-0.6,73.0833,82.17,74,97,12.55,overcast clouds
108,Rio Grande,BR,-32.035,-52.0986,73.51,94,40,7.0,scattered clouds
109,Russell,US,32.3502,-85.1999,38.48,86,100,13.8,overcast clouds
110,Barrow,US,71.2906,-156.7887,-11.18,70,100,6.91,overcast clouds
111,Port Macquarie,AU,-31.4333,152.9167,73.89,73,75,17.27,broken clouds
112,Kigorobya,UG,1.6162,31.3089,72.64,50,100,1.48,overcast clouds
113,Pangoa,PE,-12.1167,-73.0,68.27,99,77,1.92,broken clouds
114,Nanortalik,GL,60.1432,-45.2371,12.31,60,71,38.88,broken clouds
115,Östersund,SE,63.1792,14.6357,25.25,74,61,10.36,broken clouds
116,Carnarvon,AU,-24.8667,113.6333,96.87,37,12,5.41,few clouds
117,Rawson,AR,-43.3002,-65.1023,57.54,61,56,15.03,broken clouds
118,Manyoni,TZ,-5.7467,34.8382,61.66,97,100,2.77,overcast clouds
119,Atuona,PF,-9.8,-139.0333,78.78,77,20,16.4,few clouds
120,Bambous Virieux,MU,-20.3428,57.7575,81.21,85,98,20.8,light rain
121,Meulaboh,ID,4.1363,96.1285,84.99,64,87,4.56,overcast clouds
122,Chui,UY,-33.6971,-53.4616,68.04,94,44,3.76,scattered clouds
123,Saint Anthony,US,45.0205,-93.218,-0.15,74,75,0.0,broken clouds
124,Kirakira,SB,-10.4544,161.9205,84.79,75,98,8.68,overcast clouds
125,Ullapool,GB,57.8987,-5.1604,41.34,97,99,16.2,moderate rain
126,Liku,ID,-0.7275,119.8922,85.96,63,100,3.62,overcast clouds
127,Kendari,ID,-3.945,122.4989,86.72,63,100,6.22,overcast clouds
128,Brandfort,ZA,-28.7001,26.4597,61.79,79,1,13.87,clear sky
129,Umluj,SA,25.0213,37.2685,61.23,49,45,8.34,scattered clouds
130,Zhigansk,RU,66.7697,123.3711,-24.57,97,100,4.43,overcast clouds
131,Hong Kong,HK,22.2855,114.1577,65.17,70,66,8.99,broken clouds
132,Ostrovnoy,RU,68.0531,39.5131,15.28,83,100,27.0,overcast clouds
133,Sopela,ES,43.3789,-2.9831,52.39,87,75,1.99,light intensity drizzle
134,Labuhan,ID,-6.8844,112.2051,84.9,72,41,11.41,scattered clouds
135,Aykhal,RU,66.0,111.5,-14.3,99,85,5.75,overcast clouds
136,Kuvandyk,RU,51.4781,57.3552,22.1,88,100,15.41,overcast clouds
137,Kapaa,US,22.0752,-159.319,75.52,76,20,5.75,few clouds
138,Pauini,BR,-7.7136,-66.9764,71.2,100,99,1.52,overcast clouds
139,Dodge City,US,37.7528,-100.0171,27.25,69,0,8.01,clear sky
140,Inhambane,MZ,-23.865,35.3833,78.49,78,54,12.19,light rain
141,Lensk,RU,60.7253,114.9278,6.24,88,99,7.94,overcast clouds
142,Kindu,CD,-2.95,25.95,67.78,99,100,2.89,light rain
143,Hobyo,SO,5.3505,48.5268,77.65,62,32,17.25,scattered clouds
144,Belyy Yar,RU,53.6039,91.3903,-9.51,84,96,0.0,mist
145,Vilyuysk,RU,63.7553,121.6247,-13.63,94,72,2.21,broken clouds
146,Batetskiy,RU,58.6461,30.3027,15.67,91,100,12.8,snow
147,Kargil,IN,34.5667,76.1,-10.66,91,79,1.95,broken clouds
148,Vila,PT,42.0304,-8.1588,40.33,86,90,5.35,overcast clouds
149,Caravelas,BR,-17.7125,-39.2481,75.06,91,100,4.97,overcast clouds
